Indicator ID,Workshop,Workshop (Name),Workshop Date,Sex,Economy,Economy (Name),Fiscal Year,Other Economy,Organization,Workstream,Workstream (Name),Last Updated
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Malaysia,Unknown,Unknown,Unknown,DEPARTMENT OF STANDARDS MALAYSIA,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Viet Nam,Unknown,Unknown,Unknown,"Commission for the Standards, Metrology and Quality",recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Viet Nam,Unknown,Unknown,Unknown,TBT Viet Nam Office,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Republic of Korea,Unknown,Unknown,Unknown,MSIT,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Prefer not to answer,Republic of Korea,Unknown,Unknown,Unknown,Kats,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Other,Unknown,Unknown,WTO,World Trade Organization,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,People's Republic of China,Unknown,Unknown,Unknown,CATARC,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Republic of Korea,Unknown,Unknown,Unknown,TBT R&I CENTER,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,Republic of Korea,Unknown,Unknown,Unknown,Gangneung-Wonju National University,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,The Philippines,Unknown,Unknown,Unknown,Department of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,Thailand,Unknown,Unknown,Unknown,Thai Industrial Standards Institute,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Female,People's Republic of China,Unknown,Unknown,Unknown,China certification and accreditation insitute,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-29,Male,United States of America,Unknown,Unknown,Unknown,ASTM International ,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
